eRT,Store,RPC,ProductName,Category,Brand,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,First POS date,Last POS date,Pantry_flg,Unset_flg,Memo
Lohaco,Lohaco,A687941,【歳末セール】ジョイコンパクト JOY オレンジピール成分入り 超特大 1065ml 1セット（2個入） 食器用洗剤 P&G,Dish Care,Joy,HDW,Compact,Refill,Refillx3,Case,2p,2017-11-10,2018-02-28,,,
Lohaco,Lohaco,A687942,【歳末セール】ジョイコンパクト JOY フレッシュライチの香り 詰め替え 超特大 1065ml 食器用洗剤 P&G,Dish Care,Joy,HDW,Compact,Refill,Refillx3,Single,,2017-11-11,2018-02-27,,,
Lohaco,Lohaco,A687989,【いい買物の日】BRAUN（ブラウン） 光脱毛器シルクエキスパート BD-3005 P＆G,BFG,Braun Female,IPL,Silk Expert,,,,,2017-11-12,2017-11-12,,,
Lohaco,Lohaco,A687990,【いい買物の日】BRAUN（ブラウン） オーラルB電動歯ブラシブラックPRO2000 D205232MXBK PRO2000 P＆G,Oral Care,Oral-B,Handle,Mid,,,,,2017-11-11,2017-11-12,,,
Lohaco,Lohaco,A687991,【いい買物の日】BRAUN（ブラウン） オーラルB電動歯ブラシピンクPRO2000 D205232MXPK PRO2000 P＆G,Oral Care,Oral-B,Handle,Mid,,,,,2017-11-11,2017-11-12,,,
Lohaco,Lohaco,A689751,【お試し品】アリエール パワージェルボール3D 本体 1個（10粒入） 洗濯洗剤 P＆G,Detergent,Ariel,Gel Ball,Power,Bottle,,Single,,2017-11-29,2018-02-28,,,
Lohaco,Lohaco,A689752,【お試し品】アリエール リビングドライジェルボール3D 本体 1個（10粒入） 洗濯洗剤 P＆G,Detergent,Ariel,Gel Ball,Living dry,Bottle,,Single,,2017-11-29,2018-02-28,,,
Lohaco,Lohaco,A689753,【お試し品】レノア本格消臭 フローラルフルーティーソープの香り 本体 480ml 1個 柔軟剤 P＆G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Bottle,,Single,,2017-12-12,2018-02-05,,,
Lohaco,Lohaco,A689760,【お試し品】レノア本格消臭 衣類の消臭専用 デオドラントビーズ リフレッシュフローラルの香り 本体 210ml 1個 P＆G,Fabric Enhancer,Lenor,Beads,Honkaku Shoshu,Bottle,,Single,,2017-11-29,2018-02-28,,,
Lohaco,Lohaco,A689761,【お試し品】レノア本格消臭 衣類の消臭専用 デオドラントビーズ グリーンミストの香り 本体 210ml 1個 P＆G,Fabric Enhancer,Lenor,Beads,Honkaku Shoshu,Bottle,,Single,,2017-11-30,2018-02-28,,,
Lohaco,Lohaco,A689762,【お試し品】レノア本格消臭 衣類の消臭専用 デオドラントビーズ クールリフレッシュの香り 本体 210ml 1個 P＆G,Fabric Enhancer,Lenor,Beads,Honkaku Shoshu,Bottle,,Single,,2017-11-30,2018-02-28,,,
Lohaco,Lohaco,A689763,【数量限定】レノアハピネス アロマジュエル バンドルパック エメラルドブリーズの香り 詰め替え 455ml×2個 1パック 香り付け専用 P＆G,Fabric Enhancer,Lenor,Beads,Happiness,Refill,Refillx1,Case,2p,2017-12-05,2018-01-04,,,
Lohaco,Lohaco,A689764,【数量限定】レノアハピネス アロマジュエル バンドルパック ダイアモンドフローラルの香り 詰め替え 455ml×2個 1パック 香り付け専用 P＆G,Fabric Enhancer,Lenor,Beads,Happiness,Refill,Refillx1,Case,2p,2017-12-06,2017-12-26,,,
Lohaco,Lohaco,A689765,【数量限定】レノアハピネス アロマジュエル バンドルパック サファイアベリーの香り 詰め替え 455ml×2個 1パック 香り付け専用 P＆G,Fabric Enhancer,Lenor,Beads,Happiness,Refill,Refillx1,Case,2p,2017-12-08,2018-01-06,,,
Lohaco,Lohaco,A689808,パンパース おむつ パンツ L（9～14kg） 1セット（2パック：116枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Pants,FS,L,UJ,CP,2017-11-15,2018-02-28,,,
Lohaco,Lohaco,A689809,パンパース おむつ パンツ ビッグ（12～22kg） 1セット（2パック：100枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Pants,FS,XL,UJ,CP,2017-11-14,2018-02-28,,,
Lohaco,Lohaco,A689810,パンパース おむつ パンツ L（9～14kg） 1セット（2パック：92枚入） 肌へのいちばん P&G,Baby Care,Pampers,Diaper,Pants,LE,L,UJ,CP,2017-11-15,2018-02-27,,,
